"","gene","genename","genechr","genepos","genedesc"
"1038","Hs.346918","PSMA3","14","56701.633","proteasome (prosome, macropain) subunit, alpha type, 3"
"1039","Hs.171271","CTNNB1","3","41201.587","catenin (cadherin-associated protein), beta 1 (88kD)"
"1040","Hs.173091","UBL3","13","28136.545","ubiquitin-like 3"
"1041","Hs.173091","UBL3","13","28136.545","ubiquitin-like 3"
"1042","Hs.181046","DUSP3","17","42321.864","dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)"
"1043","Hs.181046","DUSP3","17","42321.864","dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)"
"1044","Hs.181046","DUSP3","17","42321.864","dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)"
"1045","Hs.239069","FHL1","23","133935.286","four and a half LIM domains 1"
"1046","Hs.239069","FHL1","23","133935.286","four and a half LIM domains 1"
"1047","Hs.10028","CG1I","7","100421.627","putative cyclin G1 interacting protein"
"1048","Hs.110796","SAR1","10","71254.565","SAR1 protein"
"1049","Hs.110796","SAR1","10","71254.565","SAR1 protein"
"1050","Hs.117176","PABPN1","14","21779.524","poly(A) binding protein, nuclear 1"
"1051","Hs.117176","PABPN1","14","21779.524","poly(A) binding protein, nuclear 1"
"1052","Hs.138617","TRIP12","2","230834.468","thyroid hormone receptor interactor 12"
"1053","Hs.143323","PLU-1","1","199984.789","putative DNA/chromatin binding motif"
"1054","Hs.143323","PLU-1","1","199984.789","putative DNA/chromatin binding motif"
"1055","Hs.143323","PLU-1","1","199984.789","putative DNA/chromatin binding motif"
"1056","Hs.14376","ACTG1","17","80177.117","actin, gamma 1"
"1057","Hs.150101","LAMP1","13","111899.602","lysosomal-associated membrane protein 1"
"1058","Hs.150101","LAMP1","13","111899.602","lysosomal-associated membrane protein 1"
"1059","Hs.150101","LAMP1","13","111899.602","lysosomal-associated membrane protein 1"
"1060","Hs.174071","GYG","3","150030.283","glycogenin"
"1061","Hs.179565","MCM3","6","52175.647","MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)"
"1062","Hs.194534","VAMP2","17","8263.029","vesicle-associated membrane protein 2 (synaptobrevin 2)"
"1063","Hs.194534","VAMP2","17","8263.029","vesicle-associated membrane protein 2 (synaptobrevin 2)"
"1064","Hs.196209","RAE1","20","56611.738","RAE1 RNA export 1 homolog (S. pombe)"
"1065","Hs.25035","CLIC4","1","24423.015","chloride intracellular channel 4"
"1066","Hs.25035","CLIC4","1","24423.015","chloride intracellular channel 4"
"1067","Hs.29665","CLSTN1","1","9498.631","calsyntenin 1"
"1068","Hs.878","SORD","15","43031.407","sorbitol dehydrogenase"
"1069","Hs.878","SORD","15","43031.407","sorbitol dehydrogenase"
"1070","Hs.118400","SNL","7","5376.794","singed-like (fascin homolog, sea urchin) (Drosophila)"
"1071","Hs.180919","ID2","2","8843.851","inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
"1072","Hs.180919","ID2","2","8843.851","inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
"1073","Hs.183773","GOLGA4","3","37245.398","golgi autoantigen, golgin subfamily a, 4"
"1074","Hs.3709","QP-C","5","132278.572","low molecular mass ubiquinone-binding protein (9.5kD)"
"1075","Hs.4877","CGI-51","22","42609.6","CGI-51 protein"
"1076","Hs.4877","CGI-51","22","42609.6","CGI-51 protein"
"1077","Hs.76894","DCTD","4","184507.147","dCMP deaminase"
"1078","Hs.76894","DCTD","4","184507.147","dCMP deaminase"
"1079","Hs.77324","ETF1","5","137918.003","eukaryotic translation termination factor 1"
"1080","Hs.77324","ETF1","5","137918.003","eukaryotic translation termination factor 1"
"1081","Hs.79008","SNW1","14","76173.986","SKI-interacting protein"
"1082","Hs.79222","GLB1","3","33009.998","galactosidase, beta 1"
"1083","Hs.118638","NME1","17","49705.581","non-metastatic cells 1, protein (NM23A) expressed in"
"1084","Hs.16426","PODXL","7","130601.27","podocalyxin-like"
"1085","Hs.166994","FAT","4","188204.838","FAT tumor suppressor homolog 1 (Drosophila)"
"1086","Hs.169358","DJ971N18.2","20","7956.629","hypothetical protein DJ971N18.2"
"1087","Hs.169358","DJ971N18.2","20","7956.629","hypothetical protein DJ971N18.2"
"1088","Hs.173497","SEC23B","20","18483.215","Sec23 homolog B (S. cerevisiae)"
"1089","Hs.311609","DDX39","19","14380.632","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 39"
"1090","Hs.180610","SFPQ","1","35076.864","splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)"
"1091","Hs.180610","SFPQ","1","35076.864","splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)"
"1092","Hs.182018","IRAK1","23","151743.865","interleukin-1 receptor-associated kinase 1"
"1093","Hs.18792","TXNL","18","52419.039","thioredoxin-like, 32kD"
"1094","Hs.211602","SMC1L1","23","52367.86","SMC1 structural maintenance of chromosomes 1-like 1 (yeast)"
"1095","Hs.217493","ANXA2","15","58355.591","annexin A2"
"1096","Hs.26285","NISCH","3","52448.1","nischarin"
"1097","Hs.58189","EIF3S3","8","117613.673","eukaryotic translation initiation factor 3, subunit 3 (gamma, 40kD)"
"1098","Hs.6375","HT010","2","187553.427","uncharacterized hypothalamus protein HT010"
"1099","Hs.3382","PPP4R1","18","9536.841","protein phosphatase 4, regulatory subunit 1"
"1100","Hs.6375","HT010","2","187553.427","uncharacterized hypothalamus protein HT010"
"1101","Hs.65114","KRT18","12","51629.177","keratin 18"
"1102","Hs.70312","COX7A2","6","75943.099","cytochrome c oxidase subunit VIIa polypeptide 2 (liver)"
"1103","Hs.75339","INPPL1","11","71662.132","inositol polyphosphate phosphatase-like 1"
"1104","Hs.75485","OAT","10","125660.271","ornithine aminotransferase (gyrate atrophy)"
"1105","Hs.7771","REA","12","6944.777","repressor of estrogen receptor activity"
"1106","Hs.146360","IFITM1","11","304.061","interferon induced transmembrane protein 1 (9-27)"
"1107","Hs.16533","PPP1R12A","12","78670.653","protein phosphatase 1, regulatory (inhibitor) subunit 12A"
"1108","Hs.16533","PPP1R12A","12","78670.653","protein phosphatase 1, regulatory (inhibitor) subunit 12A"
"1109","Hs.16533","PPP1R12A","12","78670.653","protein phosphatase 1, regulatory (inhibitor) subunit 12A"
"1110","Hs.169718","CNN2","19","977.634","calponin 2"
"1111","Hs.172589","PWP1","12","106582.056","nuclear phosphoprotein similar to S. cerevisiae PWP1"
"1112","Hs.172589","PWP1","12","106582.056","nuclear phosphoprotein similar to S. cerevisiae PWP1"
"1113","Hs.172589","PWP1","12","106582.056","nuclear phosphoprotein similar to S. cerevisiae PWP1"
"1114","Hs.183212","ICMT","1","5990.8","isoprenylcysteine carboxyl methyltransferase"
"1115","Hs.183212","ICMT","1","5990.8","isoprenylcysteine carboxyl methyltransferase"
"1116","Hs.183212","ICMT","1","5990.8","isoprenylcysteine carboxyl methyltransferase"
"1117","Hs.2533","ALDH9A1","1","162818.829","aldehyde dehydrogenase 9 family, member A1"
"1118","Hs.272822","RUVBL1","3","129120.711","RuvB-like 1 (E. coli)"
"1119","Hs.272822","RUVBL1","3","129120.711","RuvB-like 1 (E. coli)"
"1120","Hs.325474","CALD1","7","133880.509","caldesmon 1"
"1121","Hs.325474","CALD1","7","133880.509","caldesmon 1"
"1122","Hs.325474","CALD1","7","133880.509","caldesmon 1"
"1123","Hs.4742","GPAA1","8","145243.519","GPAA1P anchor attachment protein 1 homolog (yeast)"
"1124","Hs.75454","PRDX3","10","120591.801","peroxiredoxin 3"
"1125","Hs.75890","MBTPS1","16","83867.061","membrane-bound transcription factor protease, site 1"
"1126","Hs.76307","NBL1","1","19440.289","neuroblastoma, suppression of tumorigenicity 1"
"1127","Hs.79093","p100","7","126846.714","EBNA-2 co-activator (100kD)"
"1128","Hs.80758","DARS","2","136875.022","aspartyl-tRNA synthetase"
"1129","Hs.80758","DARS","2","136875.022","aspartyl-tRNA synthetase"
"1130","Hs.56205","INSIG1","7","154481.287","insulin induced gene 1"
"1131","Hs.56205","INSIG1","7","154481.287","insulin induced gene 1"
"1132","Hs.56205","INSIG1","7","154481.287","insulin induced gene 1"
"1133","Hs.57304","RAGA","9","19039.401","Ras-related GTP-binding protein"
"1134","Hs.75393","ACP1","2","254.895","acid phosphatase 1, soluble"
"1135","Hs.75393","ACP1","2","254.895","acid phosphatase 1, soluble"
"1136","Hs.76095","IER3","6","30817.138","immediate early response 3"
"1137","Hs.78592","EIF2B1","12","122458.677","eukaryotic translation initiation factor 2B, subunit 1 (alpha, 26kD)"
"1138","Hs.79103","CYB5-M","16","69234.75","cytochrome b5 outer mitochondrial membrane precursor"
"1139","Hs.79103","CYB5-M","16","69234.75","cytochrome b5 outer mitochondrial membrane precursor"
"1140","Hs.82712","FXR1","3","181951.374","fragile X mental retardation, autosomal homolog 1"
"1141","Hs.82712","FXR1","3","181951.374","fragile X mental retardation, autosomal homolog 1"
"1142","Hs.82712","FXR1","3","181951.374","fragile X mental retardation, autosomal homolog 1"
"1143","Hs.83727","CPSF1","8","145623.25","cleavage and polyadenylation specific factor 1, 160kD subunit"
"1144","Hs.83727","CPSF1","8","145623.25","cleavage and polyadenylation specific factor 1, 160kD subunit"
"1145","Hs.106671","CLPTM1","19","50150.477","cleft lip and palate associated transmembrane protein 1"
"1146","Hs.118110","BST2","19","17374.755","bone marrow stromal cell antigen 2"
"1147","Hs.177559","IFNGR2","21","33695.597","interferon gamma receptor 2 (interferon gamma transducer 1)"
"1148","Hs.24125","C5orf7","5","137784.577","chromosome 5 open reading frame 7"
"1149","Hs.264428","TSTA3","8","144799.925","tissue specific transplantation antigen P35B"
"1150","Hs.289114","HXB","9","113158.857","hexabrachion (tenascin C, cytotactin)"
"1151","Hs.349656","","4","77539.781","Homo sapiens cDNA FLJ31439 fis, clone NT2NE2000707"
"1152","Hs.323567","CD36L2","4","77538.288","CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 2 (lysosomal integral membrane protein II)"
"1153","Hs.50651","JAK1","1","64670.124","Janus kinase 1 (a protein tyrosine kinase)"
"1154","Hs.169895","UBE2L6","11","57094.496","ubiquitin-conjugating enzyme E2L 6"
"1155","Hs.182265","KRT19","17","40053.033","keratin 19"
"1156","Hs.18842","PACSIN2","22","41496.717","protein kinase C and casein kinase substrate in neurons 2"
"1157","Hs.198767","COPS5","8","68005.276","COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)"
"1158","Hs.201673","CNIL","14","52883.688","cornichon-like"
"1159","Hs.211573","HSPG2","1","21618.714","heparan sulfate proteoglycan 2 (perlecan)"
"1160","Hs.211573","HSPG2","1","21618.714","heparan sulfate proteoglycan 2 (perlecan)"
"1161","Hs.227730","ITGA6","2","173494.913","integrin, alpha 6"
"1162","Hs.372616","","12","100289.381","Homo sapiens cDNA FLJ10627 fis, clone NT2RP2005555"
"1163","Hs.372616","","12","100289.381","Homo sapiens cDNA FLJ10627 fis, clone NT2RP2005555"
"1164","Hs.242894","ARL1","12","100289.381","ADP-ribosylation factor-like 1"
"1165","Hs.268012","FACL3","2","223967.935","fatty-acid-Coenzyme A ligase, long-chain 3"
"1166","Hs.268012","FACL3","2","223967.935","fatty-acid-Coenzyme A ligase, long-chain 3"
"1167","Hs.268012","FACL3","2","223967.935","fatty-acid-Coenzyme A ligase, long-chain 3"
"1168","Hs.50758","SMC4L1","3","161439.295","SMC4 structural maintenance of chromosomes 4-like 1 (yeast)"
"1169","Hs.50758","SMC4L1","3","161439.295","SMC4 structural maintenance of chromosomes 4-like 1 (yeast)"
"1170","Hs.5174","RPS17","15","80931.322","ribosomal protein S17"
"1171","Hs.5831","TIMP1","23","46487.812","tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)"
"1172","Hs.74471","GJA1","6","121737.363","gap junction protein, alpha 1, 43kD (connexin 43)"
"1173","Hs.75607","MARCKS","6","114224.125","myristoylated alanine-rich protein kinase C substrate"
"1174","Hs.75607","MARCKS","6","114224.125","myristoylated alanine-rich protein kinase C substrate"
"1175","Hs.75607","MARCKS","6","114224.125","myristoylated alanine-rich protein kinase C substrate"
"1176","Hs.75981","USP14","18","148.552","ubiquitin specific protease 14 (tRNA-guanine transglycosylase)"
"1177","Hs.75981","USP14","18","148.552","ubiquitin specific protease 14 (tRNA-guanine transglycosylase)"
"1178","Hs.772","GYS1","19","54163.194","glycogen synthase 1 (muscle)"
"1179","Hs.78921","AKAP1","17","55637.258","A kinase (PRKA) anchor protein 1"
"1180","Hs.78921","AKAP1","17","55637.258","A kinase (PRKA) anchor protein 1"
"1181","Hs.82159","PSMA1","11","14490.731","proteasome (prosome, macropain) subunit, alpha type, 1"
"1182","Hs.110480","DC12","3","130318.592","DC12 protein"
"1183","Hs.110480","DC12","3","130318.592","DC12 protein"
"1184","Hs.111801","ARS2","7","100084.131","arsenate resistance protein ARS2"
"1185","Hs.111801","ARS2","7","100084.131","arsenate resistance protein ARS2"
"1186","Hs.170290","DLG5","10","78895.153","discs, large (Drosophila) homolog 5"
"1187","Hs.184211","PMPCB","7","102498.429","peptidase (mitochondrial processing) beta"
"1188","Hs.194035","KIAA0737","14","19935.533","KIAA0737 gene product"
"1189","Hs.194035","KIAA0737","14","19935.533","KIAA0737 gene product"
"1190","Hs.194035","KIAA0737","14","19935.533","KIAA0737 gene product"
"1191","Hs.227913","API5","11","43297.861","apoptosis inhibitor 5"
"1192","Hs.227913","API5","11","43297.861","apoptosis inhibitor 5"
"1193","Hs.2384","TPD52","8","80997.71","tumor protein D52"
"1194","Hs.2384","TPD52","8","80997.71","tumor protein D52"
"1195","Hs.2384","TPD52","8","80997.71","tumor protein D52"
"1196","Hs.2384","TPD52","8","80997.71","tumor protein D52"
"1197","Hs.24447","SR-BP1","9","34624.719","sigma receptor (SR31747 binding protein 1)"
"1198","Hs.326035","EGR1","5","137877.396","early growth response 1"
"1199","Hs.75514","NP","14","18927.692","nucleoside phosphorylase"
"1200","Hs.76122","SFRS4","1","29161.876","splicing factor, arginine/serine-rich 4"
"1201","Hs.77462","DNMT1","19","10105.022","DNA (cytosine-5-)-methyltransferase 1"
"1202","Hs.77608","SFRS9","12","119311.423","splicing factor, arginine/serine-rich 9"
"1203","Hs.79357","PSMC6","14","51163.955","proteasome (prosome, macropain) 26S subunit, ATPase, 6"
"1204","Hs.83173","CCND3","6","41949.526","cyclin D3"
"1205","Hs.9071","PGRMC2","4","129650.119","progesterone receptor membrane component 2"
"1206","Hs.106019","PPP1R10","6","30674.329","protein phosphatase 1, regulatory subunit 10"
"1207","Hs.106019","PPP1R10","6","30674.329","protein phosphatase 1, regulatory subunit 10"
"1208","Hs.12330","ENTPD6","20","25171.371","ectonucleoside triphosphate diphosphohydrolase 6 (putative function)"
"1209","Hs.155543","PSMD7","16","74110.243","proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)"
"1210","Hs.168670","PXF","1","157463.393","peroxisomal farnesylated protein"
"1211","Hs.168670","PXF","1","157463.393","peroxisomal farnesylated protein"
"1212","Hs.173878","NIPSNAP1","22","28275.353","nipsnap homolog 1 (C. elegans)"
"1213","Hs.173878","NIPSNAP1","22","28275.353","nipsnap homolog 1 (C. elegans)"
"1214","Hs.179718","MYBL2","20","42981.137","v-myb myeloblastosis viral oncogene homolog (avian)-like 2"
"1215","Hs.199179","RANBP2","2","108957.336","RAN binding protein 2"
"1216","Hs.199179","RANBP2","2","108957.336","RAN binding protein 2"
"1217","Hs.199179","RANBP2","2","108957.336","RAN binding protein 2"
"1218","Hs.21635","TUBG1","17","41134.858","tubulin, gamma 1"
"1219","Hs.227133","ACN","14","21517.903","likely ortholog of mouse acinus"
"1220","Hs.75283","SNX1","15","62104.017","sorting nexin 1"
"1221","Hs.75859","MRPL49","11","64665.087","mitochondrial ribosomal protein L49"
"1222","Hs.7857","EPB41L2","6","131141.059","erythrocyte membrane protein band 4.1-like 2"
"1223","Hs.7857","EPB41L2","6","131141.059","erythrocyte membrane protein band 4.1-like 2"
"1224","Hs.79356","LAPTM5","1","30707.787","Lysosomal-associated multispanning membrane protein-5"
"1225","Hs.79356","LAPTM5","1","30707.787","Lysosomal-associated multispanning membrane protein-5"
"1226","Hs.80120","GALNT1","18","31486.582","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)"
"1227","Hs.80120","GALNT1","18","31486.582","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)"
"1228","Hs.80120","GALNT1","18","31486.582","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)"
"1229","Hs.82043","D123","10","12241.97","D123 gene product"
"1230","Hs.12379","ELAVL1","19","7934.234","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"
"1231","Hs.12379","ELAVL1","19","7934.234","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"
"1232","Hs.151761","KIAA0100","17","27111.904","KIAA0100 gene product"
"1233","Hs.151761","KIAA0100",NA,NA,"KIAA0100 gene product"
"1234","Hs.169750","TPR","1","183521.953","translocated promoter region (to activated MET oncogene)"
"1235","Hs.169750","TPR","1","183521.953","translocated promoter region (to activated MET oncogene)"
"1236","Hs.174139","CLCN3","4","171237.688","chloride channel 3"
"1237","Hs.372528","","4","171237.688","Homo sapiens mRNA; cDNA DKFZp564I0463 (from clone DKFZp564I0463)"
"1238","Hs.372528","","4","171237.688","Homo sapiens mRNA; cDNA DKFZp564I0463 (from clone DKFZp564I0463)"
"1239","Hs.174139","CLCN3","4","171237.688","chloride channel 3"
"1240","Hs.20141","TEB4","5","10406.565","similar to S. cerevisiae SSM4"
"1241","Hs.20141","TEB4","5","10406.565","similar to S. cerevisiae SSM4"
"1242","Hs.21756","GC20","3","40311.781","translation factor sui1 homolog"
"1243","Hs.296323","SGK","6","134470.958","serum/glucocorticoid regulated kinase"
"1244","Hs.5273","NDUFS3","11","47564.94","NADH dehydrogenase (ubiquinone) Fe-S protein 3 (30kD) (NADH-coenzyme Q reductase)"
"1245","Hs.73737","SFRS1","17","56555.492","splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"
"1246","Hs.73737","SFRS1","17","56555.492","splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"
"1247","Hs.75627","CD14","5","140039.821","CD14 antigen"
"1248","Hs.79914","LUM","12","89999.795","lumican"
"1249","Hs.82643","PTK9","12","42473.792","protein tyrosine kinase 9"
"1250","Hs.1846","TP53","17","7772.304","tumor protein p53 (Li-Fraumeni syndrome)"
"1251","Hs.23978","SAFB","19","5574.163","scaffold attachment factor B"
"1252","Hs.23978","SAFB","19","5574.163","scaffold attachment factor B"
"1253","Hs.288203","ECE1","1","21015.826","endothelin converting enzyme 1"
"1254","Hs.288203","ECE1","1","21015.826","endothelin converting enzyme 1"
"1255","Hs.3094","KIAA0063","22","37324.665","KIAA0063 gene product"
"1256","Hs.324470","ADD3","10","111524.967","adducin 3 (gamma)"
"1257","Hs.324470","ADD3","10","111524.967","adducin 3 (gamma)"
"1258","Hs.351875","COX6C","8","100846.954","cytochrome c oxidase subunit VIc"
"1259","Hs.77171","MCM5","22","34120.681","MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)"
"1260","Hs.79411","RPA2","1","27822.737","replication protein A2 (32kD)"
"1261","Hs.80595","NDUFS5","1","38905.299","NADH dehydrogenase (ubiquinone) Fe-S protein 5 (15kD) (NADH-coenzyme Q reductase)"
"1262","Hs.118910","TSG101","11","18466.167","tumor susceptibility gene 101"
"1263","Hs.12570","TBCD","17","81388.773","tubulin-specific chaperone d"
"1264","Hs.136644","LOC55884","12","116882.451","CS box-containing WD protein"
"1265","Hs.154672","MTHFD2","2","74400.249","methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase"
"1266","Hs.179774","PSME2","14","22602.701","proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"
"1267","Hs.336916","DAXX","6","33333.276","death-associated protein 6"
"1268","Hs.103834","MGC5576","12","46643.66","hypothetical protein MGC5576"
"1269","Hs.119403","HEXA","15","70351.596","hexosaminidase A (alpha polypeptide)"
"1270","Hs.12124","ELAC2","17","13096.274","elaC homolog 2 (E. coli)"
"1271","Hs.12124","ELAC2","17","13096.274","elaC homolog 2 (E. coli)"
"1272","Hs.132853","KIAA0171","5","157194.191","KIAA0171 gene product"
"1273","Hs.132853","KIAA0171","5","157194.191","KIAA0171 gene product"
"1274","Hs.173255","SNRPA","19","45948.617","small nuclear ribonucleoprotein polypeptide A"
"1275","Hs.200600","SCAMP3","1","152442.564","secretory carrier membrane protein 3"
"1276","Hs.223014","OAZIN","8","103796.633","ornithine decarboxylase antizyme inhibitor"
"1277","Hs.3657","ADNP","20","50192.304","activity-dependent neuroprotector"
"1278","Hs.62515","KIAA0494","1","46510.749","KIAA0494 gene product"
"1279","Hs.62515","KIAA0494","1","46510.749","KIAA0494 gene product"
"1280","Hs.62515","KIAA0494","1","46510.749","KIAA0494 gene product"
"1281","Hs.6900","RNF13","3","150851.412","ring finger protein 13"
"1282","Hs.6900","RNF13","3","150851.412","ring finger protein 13"
"1283","Hs.75305","AIP","11","67025.88","aryl hydrocarbon receptor interacting protein"
"1284","Hs.75305","AIP","11","67025.88","aryl hydrocarbon receptor interacting protein"
"1285","Hs.75569","RELA","11","65196.431","v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)"
"1286","Hs.78050","IMAGE145052","11","16724.502","small acidic protein"
"1287","Hs.7957","ADAR","1","151771.331","adenosine deaminase, RNA-specific"
"1288","Hs.79732","FBLN1","22","44175.284","fibulin 1"
"1289","Hs.8765","RNAHP","17","62343.261","RNA helicase-related protein"
"1290","Hs.109201","LOC51635","14","58601.539","CGI-86 protein"
"1291","Hs.11806","DHCR7","11","70871.77","7-dehydrocholesterol reductase"
"1292","Hs.11806","DHCR7","11","70871.77","7-dehydrocholesterol reductase"
"1293","Hs.118397","AEBP1","7","43884.905","AE binding protein 1"
"1294","Hs.15087","C1orf16","1","180681.073","chromosome 1 open reading frame 16"
"1295","Hs.15087","C1orf16","1","180681.073","chromosome 1 open reading frame 16"
"1296","Hs.152931","LBR","1","222563.843","lamin B receptor"
"1297","Hs.159637","VARS2","6","31849.578","valyl-tRNA synthetase 2"
"1298","Hs.159637","VARS2","6","31849.578","valyl-tRNA synthetase 2"
"1299","Hs.234680","FER1L3","10","94730.773","fer-1-like 3, myoferlin (C. elegans)"
"1300","Hs.24734","OSBP","11","59117.23","oxysterol binding protein"
"1301","Hs.24734","OSBP","11","59117.23","oxysterol binding protein"
"1302","Hs.25450","SLC29A1","6","44234.247","solute carrier family 29 (nucleoside transporters), member 1"
"1303","Hs.25450","SLC29A1","6","44234.247","solute carrier family 29 (nucleoside transporters), member 1"
"1304","Hs.296014","POLR2B","4","57760.65","polymerase (RNA) II (DNA directed) polypeptide B (140kD)"
"1305","Hs.31053","CKAP1","19","41298.236","cytoskeleton-associated protein 1"
"1306","Hs.3136","PRKAG1","12","47682.46","protein kinase, AMP-activated, gamma 1 non-catalytic subunit"
"1307","Hs.43509","A2LP","16","28872.122","ataxin 2 related protein"
"1308","Hs.67052","VPS26","10","70228.558","vacuolar protein sorting 26 (yeast)"
"1309","Hs.76753","ENG","9","125953.34","endoglin (Osler-Rendu-Weber syndrome 1)"
"1310","Hs.76753","ENG","9","125953.34","endoglin (Osler-Rendu-Weber syndrome 1)"
"1311","Hs.109150","SH3BP5","3","15271.367","SH3-domain binding protein 5 (BTK-associated)"
"1312","Hs.109150","SH3BP5","3","15271.367","SH3-domain binding protein 5 (BTK-associated)"
"1313","Hs.112318","LOC54543","7","22594.863","6.2 kd protein"
"1314","Hs.115740","KIAA0210","3","17174.902","KIAA0210 gene product"
"1315","Hs.115740","KIAA0210","3","17174.902","KIAA0210 gene product"
"1316","Hs.115740","KIAA0210","3","17174.902","KIAA0210 gene product"
"1317","Hs.152707","GBAS","7","55774.044","glioblastoma amplified sequence"
"1318","Hs.155287","KIAA0010","7","156348.518","ubiquitin-protein isopeptide ligase (E3)"
"1319","Hs.179882","FLJ12443","5","1514.281","hypothetical protein FLJ12443"
"1320","Hs.180616","CD36L1","12","123615.274","CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 1"
"1321","Hs.195850","KRT5","12","51194.627","keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)"
"1322","Hs.20716","TIMM17A","1","199212.904","translocase of inner mitochondrial membrane 17 homolog A (yeast)"
"1323","Hs.20716","TIMM17A","1","199212.904","translocase of inner mitochondrial membrane 17 homolog A (yeast)"
"1324","Hs.215857","RNF14","5","141377.233","ring finger protein 14"
"1325","Hs.215857","RNF14","5","141377.233","ring finger protein 14"
"1326","Hs.238126","LOC51097","1","243834.448","CGI-49 protein"
"1327","Hs.238126","LOC51097","1","243834.448","CGI-49 protein"
"1328","Hs.250708","CXX1","23","132872.003","CAAX box 1"
"1329","Hs.25155","NET1","10","5442.582","neuroepithelial cell transforming gene 1"
"1330","Hs.25155","NET1","10","5442.582","neuroepithelial cell transforming gene 1"
"1331","Hs.325948","P115","4","77108.223","vesicle docking protein p115"
"1332","Hs.325948","P115","4","77108.223","vesicle docking protein p115"
"1333","Hs.3352","HDAC2","6","114307.496","histone deacetylase 2"
"1334","Hs.6061","PRKAB1","12","118517.736","protein kinase, AMP-activated, beta 1 non-catalytic subunit"
"1335","Hs.6061","PRKAB1","12","118517.736","protein kinase, AMP-activated, beta 1 non-catalytic subunit"
"1336","Hs.6232","STAF65(gamma)","2","27848.213","SPTF-associated factor 65 gamma"
"1337","Hs.6232","STAF65(gamma)","2","27848.213","SPTF-associated factor 65 gamma"
"1338","Hs.6232","STAF65(gamma)","2","27848.213","SPTF-associated factor 65 gamma"
"1339","Hs.692","TACSTD1","2","47571","tumor-associated calcium signal transducer 1"
"1340","Hs.75512","NEDD8","14","22676.199","neural precursor cell expressed, developmentally down-regulated 8"
"1341","Hs.76067","HSPB1","7","75544.011","heat shock 27kD protein 1"
"1342","Hs.76224","EFEMP1","2","56067.63","EGF-containing fibulin-like extracellular matrix protein 1"
"1343","Hs.76224","EFEMP1","2","56067.63","EGF-containing fibulin-like extracellular matrix protein 1"
"1344","Hs.7910","RYBP","3","72347.163","RING1 and YY1 binding protein"
"1345","Hs.7910","RYBP","3","72347.163","RING1 and YY1 binding protein"
"1346","Hs.7910","RYBP","3","72347.163","RING1 and YY1 binding protein"
"1347","Hs.85226","LIPA","10","90637.908","lipase A, lysosomal acid, cholesterol esterase (Wolman disease)"
"1348","Hs.79428","BNIP3","10","133215.603","BCL2/adenovirus E1B 19kD interacting protein 3"
"1349","Hs.79428","BNIP3","10","133215.603","BCL2/adenovirus E1B 19kD interacting protein 3"
"1350","Hs.82422","CAPG","2","85596.43","capping protein (actin filament), gelsolin-like"
"1351","Hs.97616","SH3GL1","19","4311.367","SH3-domain GRB2-like 1"
"1352","Hs.119571","COL3A1","2","190041.641","collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
"1353","Hs.153752","CDC25B","20","3771.956","cell division cycle 25B"
"1354","Hs.16349","KIAA0431","16","80853.66","KIAA0431 protein"
"1355","Hs.16349","KIAA0431","16","80853.66","KIAA0431 protein"
"1356","Hs.173518","ZFR","5","32399.957","zinc finger RNA binding protein"
"1357","Hs.173518","ZFR","5","32399.957","zinc finger RNA binding protein"
"1358","Hs.1908","PRG1","10","70192.499","proteoglycan 1, secretory granule"
"1359","Hs.1908","PRG1","10","70192.499","proteoglycan 1, secretory granule"
